,video_id,smile_prob,angry_prob,sob_prob,sentiment
31,adpF5AKoTw0,0.9101091623306274,0.03234599158167839,0.05754487216472625,smile
32,a53R-8tt974,0.8091419339179993,0.04204921796917915,0.14880892634391785,smile
33,5EBvXimVQf0,0.8826376795768738,0.053433433175086975,0.06392884254455566,smile
34,tYgD_bJysfw,0.9047502279281616,0.03216996788978577,0.06307977437973022,smile
35,2oNgE1k4-P0,0.8102669715881348,0.049931395798921585,0.13980165123939514,smile
36,wuwgXKl05jo,0.8314812183380127,0.056842453777790077,0.11167631298303604,smile
37,aINyQp70wLg,0.8496490716934204,0.05348655954003334,0.09686446189880372,smile
38,HOud00o_UHo,0.5513423085212708,0.06737004220485687,0.3812876343727112,smile
39,nUX64ks0MUc,0.8757063150405884,0.04847481101751328,0.07581888139247894,smile
40,xNxjUny07LQ,0.831523597240448,0.0884627178311348,0.0800136849284172,smile
41,CJqSSwsye3w,0.8992201685905457,0.028231233358383182,0.07254865020513535,smile
42,5t_zsCDKgHM,0.8169716596603394,0.09028800576925278,0.09274034202098846,smile
43,eAfMIcyR-Lg,0.8266317844390869,0.05148441717028618,0.12188374996185306,smile
44,siQ_cjMj2So,0.7223076820373535,0.07699090987443924,0.20070140063762665,smile
45,mCIEbuv2Rg4,0.8746396899223328,0.03642554581165314,0.08893480896949768,smile
46,4OCcbUZuTUQ,0.8256103396415709,0.049453593790531165,0.1249360665678978,smile
47,4WO70l_GH_c,0.9065905213356018,0.028921062126755718,0.06448839604854584,smile
48,LymWNfDvgIc,0.9034172892570496,0.03231767565011978,0.06426503509283066,smile
49,b9r4NQUfgNA,0.839458167552948,0.04693438857793808,0.11360742151737213,smile
50,PLnwgxj5_6c,0.8778722286224365,0.038028620183467865,0.0840991958975792,smile
51,_2dT8XuaNTs,0.8703526854515076,0.053781166672706604,0.07586617022752762,smile
52,sy1EL49xMXc,0.8206073045730591,0.04985517263412476,0.12953759729862213,smile
53,D9rXl3WYZZA,0.8468818068504333,0.041407786309719086,0.11171038448810576,smile
54,naRRqAGIAqQ,0.8753131031990051,0.041099563241004944,0.08358730375766754,smile
55,sVEyV1zGXMk,0.4450428783893585,0.3980045318603516,0.1569526493549347,smile
56,tRBHaJArbw0,0.8728333115577698,0.03563697263598442,0.0915297344326973,smile
57,aKxDjZCnBhc,0.8626325130462646,0.040401864796876914,0.09696562588214874,smile
58,-5NwkXsx4wY,0.8737820982933044,0.044151999056339264,0.08206591755151749,smile
59,FqParqRzG1Q,0.9413394331932068,0.02230282500386238,0.03635780140757562,smile
60,U6bb8oSQHaA,0.8919418454170227,0.039798662066459656,0.06825949251651764,smile
61,oDE21Dg7kV4,0.856860876083374,0.04148579388856888,0.10165328532457353,smile
62,v0I3pK4y_y0,0.8187708854675293,0.08040719479322432,0.10082193464040756,smile
63,QXeZUeD0Xo4,0.7958921194076538,0.05519745126366615,0.14891040325164795,smile
64,IZ8WQH1gEhE,0.5516833066940308,0.3151869773864746,0.13312974572181702,smile
65,sF5tpOSyzhk,0.3602829873561859,0.2413332611322403,0.3983837068080902,sob
66,mEAIdRGCIY0,0.5996577143669128,0.1670387238264084,0.2333035469055176,smile
67,nAR9EAJIcgI,0.7619400024414062,0.057491157203912735,0.18056882917881006,smile
